,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,4.0,54.0,"{1, 2, 3, 4, 8, 9, 10, 11, 13, 14, 16, 18, 22, 23, 24, 25, 28, 30, 31, 32, 34, 35, 40, 42, 43, 46, 48, 49, 50, 52, 55, 56, 60, 61, 62, 63, 67, 68, 69, 70, 71, 73, 77, 79, 80, 81, 82, 83, 88, 91, 93, 95, 97, 98}",25.0,"{1, 8, 9, 13, 16, 24, 34, 40, 42, 48, 49, 50, 56, 60, 61, 62, 63, 68, 69, 70, 71, 77, 79, 80, 81}",10.0,"{68, 40, 77, 79, 48, 49, 50, 80, 60, 61}",3.0,"{80, 50, 77}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,1.0,14.0,"{33, 66, 3, 35, 72, 73, 91, 92, 80, 81, 88, 59, 60, 62}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,4.0,35.0,"{1, 10, 11, 13, 15, 21, 23, 24, 25, 26, 27, 33, 34, 35, 40, 43, 48, 49, 50, 52, 59, 60, 62, 67, 69, 70, 71, 79, 80, 81, 82, 84, 91, 92, 93}",13.0,"{1, 71, 59, 11, 79, 80, 49, 50, 81, 23, 25, 27, 60}",9.0,"{1, 71, 11, 79, 80, 50, 23, 27, 60}",5.0,"{11, 80, 50, 27, 60}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,2.0,24.0,"{8, 13, 18, 30, 31, 39, 40, 43, 44, 46, 50, 51, 60, 63, 67, 68, 72, 77, 89, 91, 92, 93, 97, 98}",12.0,"{39, 8, 40, 43, 13, 46, 92, 18, 60, 93, 30, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,2.0,13.0,"{4, 40, 11, 76, 13, 78, 49, 18, 50, 52, 55, 83, 23}",3.0,"{50, 4, 76}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,0.9999999999999992,3.0,"{42, 62, 79}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
