,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,4.0,90.0,"{1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98}",84.0,"{1, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96}",56.0,"{1, 3, 4, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 23, 24, 25, 28, 30, 32, 33, 34, 35, 37, 38, 40, 42, 46, 48, 49, 50, 52, 54, 55, 58, 60, 61, 62, 64, 66, 67, 69, 70, 71, 72, 73, 75, 77, 79, 80, 81, 82, 83, 90, 92, 93, 95}",12.0,"{1, 35, 8, 40, 13, 16, 49, 50, 80, 81, 60, 62}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,1.0,75.0,"{1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 40, 41, 42, 43, 46, 47, 48, 49, 50, 51, 53, 54, 56, 58, 59, 60, 61, 62, 64, 65, 67, 68, 70, 71, 72, 73, 75, 79, 80, 81, 82, 83, 84, 86, 88, 89, 90, 91, 92, 93, 94, 95, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,2.0,48.0,"{1, 4, 8, 9, 10, 11, 13, 14, 18, 23, 24, 25, 28, 30, 31, 32, 33, 39, 40, 42, 43, 46, 48, 49, 50, 51, 52, 55, 56, 60, 63, 66, 67, 68, 69, 72, 73, 76, 77, 78, 82, 83, 89, 91, 92, 93, 97, 98}",8.0,"{97, 40, 43, 77, 49, 18, 50, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,81.0,"{1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 40, 41, 42, 43, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 79, 80, 81, 82, 83, 84, 86, 87, 89, 90, 91, 92, 93, 94, 95, 96}",42.0,"{1, 2, 3, 4, 9, 10, 11, 13, 14, 15, 16, 17, 22, 25, 27, 30, 31, 34, 35, 42, 43, 46, 47, 49, 50, 51, 52, 54, 55, 56, 59, 66, 67, 68, 70, 79, 80, 81, 82, 87, 90, 91}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,2.0,22.0,"{1, 4, 9, 10, 11, 13, 28, 32, 33, 40, 48, 49, 50, 52, 66, 71, 72, 73, 76, 77, 82, 83}",3.0,"{40, 9, 52}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,1.0,67.0,"{1, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 21, 23, 26, 27, 30, 31, 32, 33, 34, 37, 38, 40, 41, 42, 43, 46, 47, 48, 49, 50, 51, 52, 53, 55, 58, 59, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 75, 79, 80, 81, 83, 84, 86, 87, 89, 90, 91, 92, 93, 94, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,15.0,"{1, 65, 9, 41, 11, 15, 16, 79, 50, 80, 23, 56, 26, 60, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
