,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,5.0,89.0,"{1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98}",86.0,"{1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96}",82.0,"{1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 86, 88, 89, 90, 91, 92, 93, 94, 95, 96}",52.0,"{1, 3, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 25, 27, 28, 30, 31, 32, 34, 35, 40, 42, 43, 46, 47, 48, 49, 50, 51, 52, 54, 55, 60, 62, 64, 67, 68, 71, 72, 73, 77, 79, 80, 81, 82, 83, 90, 91, 92, 95}",13.0,"{1, 40, 9, 13, 77, 16, 49, 50, 80, 81, 25, 60, 62}",,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,2.0,38.0,"{1, 4, 8, 9, 10, 11, 13, 14, 18, 23, 25, 28, 30, 31, 32, 33, 40, 46, 48, 49, 50, 52, 56, 60, 63, 66, 68, 71, 72, 73, 76, 77, 82, 83, 92, 93, 97, 98}",19.0,"{4, 9, 10, 14, 25, 32, 40, 50, 52, 60, 63, 66, 68, 72, 73, 83, 92, 93, 97}",,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,3.0,81.0,"{1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 40, 41, 42, 43, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 79, 80, 81, 82, 83, 84, 86, 87, 89, 90, 91, 92, 93, 94, 95, 96}",44.0,"{1, 3, 4, 8, 9, 10, 11, 12, 14, 15, 17, 18, 21, 23, 24, 25, 27, 30, 32, 33, 37, 38, 41, 42, 49, 50, 53, 54, 55, 58, 59, 62, 67, 69, 70, 72, 75, 79, 80, 81, 87, 90, 93, 96}",8.0,"{70, 72, 11, 49, 50, 53, 87, 30}",,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,1.0,25.0,"{3, 9, 10, 11, 16, 17, 25, 27, 29, 32, 34, 38, 41, 46, 49, 50, 53, 59, 62, 68, 70, 73, 79, 80, 81}",,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,2.0,32.0,"{1, 9, 11, 13, 15, 16, 18, 23, 25, 26, 28, 30, 32, 35, 37, 38, 49, 50, 53, 55, 56, 60, 65, 71, 72, 73, 75, 79, 80, 81, 83, 94}",20.0,"{1, 9, 11, 13, 16, 18, 25, 26, 28, 30, 37, 55, 56, 60, 73, 75, 79, 80, 81, 83}",,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
