,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,5.0,67.0,"{1, 2, 3, 4, 5, 6, 9, 11, 12, 14, 16, 17, 19, 20, 21, 22, 24, 26, 27, 29, 31, 32, 33, 37, 38, 39, 40, 41, 42, 45, 46, 47, 48, 49, 50, 52, 54, 56, 58, 60, 61, 63, 64, 65, 67, 68, 69, 70, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 85, 88, 89, 90, 93, 94, 95, 96}",46.0,"{1, 2, 3, 5, 6, 9, 11, 12, 14, 17, 19, 20, 21, 27, 29, 31, 32, 33, 38, 39, 41, 42, 47, 48, 49, 50, 52, 54, 56, 60, 63, 65, 69, 72, 75, 76, 78, 80, 81, 82, 83, 88, 90, 93, 94, 95}",41.0,"{1, 2, 3, 5, 6, 9, 11, 14, 17, 19, 20, 21, 27, 29, 31, 32, 33, 38, 41, 42, 47, 48, 49, 50, 54, 56, 60, 63, 65, 69, 72, 75, 76, 78, 80, 81, 83, 88, 90, 93, 95}",26.0,"{1, 3, 5, 6, 11, 20, 21, 29, 31, 32, 33, 38, 41, 42, 48, 49, 54, 63, 65, 72, 75, 76, 83, 90, 93, 95}",15.0,"{32, 1, 33, 65, 6, 38, 41, 11, 75, 76, 49, 93, 29, 95, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,1.0,13.0,"{96, 58, 38, 6, 72, 11, 44, 75, 81, 83, 26, 93, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,1.0,72.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 60, 62, 65, 66, 67, 69, 70, 71, 73, 75, 78, 80, 81, 82, 84, 85, 89, 90, 93, 95, 96, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,12.0,"{98, 38, 39, 72, 46, 48, 49, 19, 85, 60, 93, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,1.0,12.0,"{64, 96, 5, 6, 10, 42, 46, 18, 50, 22, 56, 89}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,1.0,23.0,"{6, 9, 10, 19, 20, 23, 26, 28, 32, 41, 49, 51, 52, 54, 60, 65, 66, 69, 70, 76, 90, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,4.0,30.0,"{3, 11, 13, 15, 22, 24, 26, 29, 31, 33, 37, 38, 42, 43, 46, 48, 49, 54, 57, 58, 63, 66, 69, 75, 76, 80, 81, 82, 94, 96}",25.0,"{3, 11, 13, 15, 22, 24, 26, 29, 33, 37, 38, 46, 54, 57, 58, 63, 66, 69, 75, 76, 80, 81, 82, 94, 96}",17.0,"{33, 3, 58, 37, 38, 69, 75, 80, 81, 22, 54, 24, 57, 26, 29, 94, 63}",10.0,"{33, 3, 69, 38, 81, 22, 54, 24, 57, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,2.0,20.0,"{2, 6, 11, 15, 19, 20, 25, 38, 39, 46, 49, 52, 60, 69, 73, 75, 78, 84, 93, 98}",13.0,"{98, 6, 39, 11, 75, 46, 15, 49, 20, 52, 84, 25, 60}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,1.0,14.0,"{1, 3, 71, 72, 73, 12, 49, 52, 84, 54, 85, 93, 27, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,1.0,10.0,"{64, 1, 6, 72, 46, 79, 20, 93, 63, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,1.0,11.0,"{96, 65, 36, 9, 76, 16, 81, 82, 52, 29, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1;10;3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14;12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6;13,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15;5,1.0,13.0,"{67, 6, 73, 49, 50, 81, 83, 84, 22, 54, 93, 27, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7;8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1;10,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,1.0,9.0,"{38, 6, 41, 42, 43, 80, 57, 29, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,13,1.0,12.0,"{32, 72, 10, 75, 12, 45, 48, 80, 82, 83, 26, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15,1.0,8.0,"{67, 73, 81, 83, 84, 54, 27, 93}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,1.0,14.0,"{33, 37, 6, 39, 11, 49, 82, 51, 84, 21, 23, 25, 29, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
