,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees,Level 31 support,Level 31 trees,Level 32 support,Level 32 trees,Level 33 support,Level 33 trees,Level 34 support,Level 34 trees,Level 35 support,Level 35 trees,Level 36 support,Level 36 trees,Level 37 support,Level 37 trees,Level 38 support,Level 38 trees,Level 39 support,Level 39 trees,Level 40 support,Level 40 trees,Level 41 support,Level 41 trees,Level 42 support,Level 42 trees,Level 43 support,Level 43 trees,Level 44 support,Level 44 trees,Level 45 support,Level 45 trees,Level 46 support,Level 46 trees,Level 47 support,Level 47 trees,Level 48 support,Level 48 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,67.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 19, 21, 23, 25, 26, 28, 29, 30, 31, 32, 33, 37, 38, 39, 40, 42, 43, 44, 45, 46, 48, 49, 50, 52, 54, 55, 56, 57, 58, 62, 63, 65, 66, 69, 70, 71, 72, 73, 75, 76, 78, 80, 81, 82, 83, 84, 89, 90, 93, 95, 96, 97, 98}",10.0,"{32, 1, 96, 58, 38, 75, 44, 82, 26, 29}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,1.0,46.0,"{1, 2, 3, 5, 6, 9, 11, 12, 14, 16, 17, 18, 20, 21, 22, 27, 29, 31, 33, 36, 39, 41, 42, 46, 47, 48, 50, 54, 56, 61, 63, 64, 65, 72, 77, 79, 80, 81, 82, 88, 89, 90, 93, 94, 95, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,3.0,12.0,"{32, 65, 69, 9, 78, 49, 81, 19, 83, 54, 56, 93}",4.0,"{32, 49, 83, 65}",1.0,{83},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,78.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 60, 62, 63, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 78, 80, 81, 82, 83, 84, 85, 89, 90, 93, 94, 95, 96, 97, 98}",65.0,"{1, 2, 3, 6, 10, 11, 12, 15, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 50, 51, 52, 54, 57, 58, 60, 63, 65, 66, 67, 69, 70, 71, 72, 73, 75, 76, 78, 80, 81, 82, 83, 84, 85, 90, 93, 94, 95, 96, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,1.0,30.0,"{1, 2, 6, 9, 14, 16, 17, 20, 21, 29, 31, 33, 36, 42, 46, 48, 52, 63, 64, 65, 72, 76, 79, 80, 81, 82, 90, 93, 95, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,2.0,19.0,"{3, 5, 6, 10, 18, 33, 41, 42, 46, 47, 50, 56, 63, 64, 88, 89, 90, 95, 96}",4.0,"{42, 50, 5, 47}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,1.0,42.0,"{3, 6, 9, 11, 13, 15, 19, 20, 22, 23, 24, 26, 28, 29, 31, 32, 37, 38, 41, 46, 48, 49, 51, 52, 54, 57, 58, 60, 65, 66, 69, 70, 75, 76, 80, 81, 82, 90, 94, 95, 96, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,47.0,"{2, 3, 6, 10, 11, 12, 15, 19, 20, 21, 22, 23, 25, 29, 30, 32, 37, 38, 39, 41, 42, 43, 45, 48, 49, 50, 51, 52, 54, 57, 60, 63, 67, 69, 71, 72, 73, 75, 78, 80, 81, 82, 83, 84, 93, 94, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,1.0,18.0,"{64, 65, 96, 36, 6, 72, 9, 46, 79, 81, 63, 82, 20, 52, 93, 29, 95, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
