,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,3.0,60.0,"{1, 2, 3, 4, 5, 8, 11, 12, 14, 15, 18, 21, 22, 25, 26, 27, 28, 30, 31, 36, 37, 38, 41, 43, 44, 46, 47, 48, 49, 51, 52, 54, 55, 57, 60, 61, 63, 64, 65, 66, 68, 69, 70, 73, 74, 75, 77, 79, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95}",15.0,"{65, 66, 4, 90, 12, 77, 47, 85, 54, 89, 26, 91, 92, 95, 31}",11.0,"{65, 66, 4, 85, 54, 89, 26, 91, 92, 95, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,1.0,68.0,"{1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 32, 33, 34, 36, 38, 39, 40, 41, 42, 43, 44, 47, 48, 49, 51, 52, 54, 55, 57, 58, 59, 60, 61, 62, 64, 65, 68, 70, 73, 74, 75, 76, 77, 81, 83, 85, 86, 87, 88, 89, 90, 91, 93, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,2.0,35.0,"{2, 4, 6, 14, 16, 17, 25, 26, 28, 29, 30, 33, 37, 38, 40, 46, 50, 51, 54, 55, 58, 60, 61, 67, 69, 74, 77, 78, 85, 86, 87, 90, 92, 93, 95}",8.0,"{4, 69, 51, 93, 25, 28, 29, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,1.0,10.0,"{7, 72, 43, 16, 52, 86, 56, 25, 58, 57}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,5.0,82.0,"{1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 66, 68, 69, 70, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 90, 91, 93, 94, 97}",26.0,"{6, 7, 10, 12, 16, 25, 26, 31, 34, 39, 42, 43, 46, 57, 58, 64, 65, 66, 68, 73, 79, 81, 86, 89, 94, 97}",17.0,"{64, 65, 34, 66, 97, 6, 39, 10, 42, 12, 43, 79, 81, 89, 58, 94, 31}",10.0,"{64, 65, 66, 97, 42, 12, 79, 89, 94, 31}",8.0,"{64, 65, 66, 97, 12, 89, 94, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,1.0,19.0,"{2, 4, 14, 17, 25, 27, 38, 40, 46, 50, 54, 57, 60, 61, 63, 75, 77, 87, 93}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,1.0,21.0,"{4, 14, 17, 26, 28, 29, 30, 35, 37, 39, 50, 55, 58, 69, 74, 77, 78, 85, 90, 92, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,44.0,"{1, 5, 7, 10, 12, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 34, 35, 39, 41, 42, 43, 46, 47, 52, 54, 55, 57, 60, 61, 62, 65, 66, 68, 72, 74, 80, 82, 85, 88, 89, 90, 93, 94, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
