,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,6.0,92.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 97}",91.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 97}",85.0,"{1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 97}",56.0,"{1, 2, 3, 4, 5, 7, 8, 10, 11, 14, 16, 18, 20, 22, 25, 26, 27, 28, 29, 31, 33, 35, 36, 39, 42, 43, 46, 49, 51, 52, 54, 55, 57, 60, 61, 64, 65, 66, 69, 70, 72, 73, 74, 75, 77, 80, 82, 85, 87, 88, 89, 90, 91, 92, 93, 94}",11.0,"{1, 39, 73, 42, 43, 77, 46, 85, 22, 89, 90}",3.0,"{89, 90, 77}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,1.0,32.0,"{2, 4, 9, 10, 16, 25, 26, 28, 29, 30, 33, 35, 37, 39, 50, 54, 55, 61, 68, 69, 71, 74, 75, 77, 83, 85, 86, 87, 90, 92, 93, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,82.0,"{1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 66, 68, 69, 70, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 90, 91, 93, 94, 97}",78.0,"{1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 46, 47, 48, 49, 51, 52, 54, 55, 57, 58, 59, 60, 61, 62, 64, 65, 66, 68, 69, 72, 73, 74, 75, 76, 77, 79, 80, 81, 82, 83, 85, 86, 87, 88, 89, 90, 91, 93, 94, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,3.0,27.0,"{2, 4, 14, 16, 17, 25, 26, 27, 38, 46, 50, 51, 54, 57, 60, 61, 63, 67, 68, 71, 75, 77, 83, 86, 87, 93, 95}",9.0,"{67, 4, 77, 17, 51, 54, 25, 93, 95}",2.0,"{4, 93}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,2.0,80.0,"{1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 51, 52, 54, 55, 57, 58, 59, 60, 61, 62, 64, 65, 66, 68, 69, 70, 72, 73, 74, 75, 76, 77, 79, 80, 81, 83, 85, 86, 87, 88, 89, 90, 91, 93, 94, 97}",37.0,"{4, 6, 10, 12, 14, 16, 20, 22, 23, 25, 38, 39, 42, 43, 44, 47, 52, 55, 57, 58, 60, 61, 62, 65, 69, 70, 72, 73, 77, 79, 80, 81, 86, 89, 90, 91, 93}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,38.0,"{1, 2, 4, 5, 7, 8, 10, 13, 18, 22, 23, 24, 26, 27, 30, 31, 32, 34, 35, 39, 41, 42, 43, 46, 54, 55, 61, 62, 65, 68, 72, 74, 80, 85, 89, 90, 94, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
