,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees,Level 31 support,Level 31 trees,Level 32 support,Level 32 trees,Level 33 support,Level 33 trees,Level 34 support,Level 34 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,4.0,68.0,"{1, 2, 3, 4, 5, 6, 9, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 26, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86, 88, 92, 95, 97}",28.0,"{1, 5, 6, 15, 17, 18, 26, 29, 33, 34, 37, 38, 40, 44, 45, 49, 51, 56, 57, 59, 61, 75, 80, 81, 85, 88, 92, 95}",14.0,"{1, 34, 33, 37, 6, 38, 40, 15, 80, 88, 57, 59, 92, 95}",9.0,"{1, 37, 38, 6, 40, 15, 88, 57, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,3.0,44.0,"{3, 6, 7, 9, 14, 15, 16, 17, 21, 22, 24, 28, 29, 30, 31, 37, 39, 41, 44, 46, 47, 50, 54, 57, 61, 64, 65, 66, 68, 70, 72, 73, 74, 75, 76, 77, 81, 83, 84, 89, 90, 93, 94, 98}",18.0,"{64, 3, 68, 70, 39, 41, 73, 74, 75, 77, 15, 47, 17, 50, 93, 28, 61, 30}",14.0,"{3, 70, 41, 73, 74, 75, 15, 47, 17, 50, 93, 28, 61, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,74.0,"{1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86, 88, 91, 92, 94, 95, 97}",70.0,"{1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 50, 51, 52, 53, 54, 55, 56, 57, 60, 61, 62, 63, 64, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 82, 84, 86, 88, 91, 92, 94, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,1.0,25.0,"{1, 3, 9, 15, 16, 17, 21, 30, 36, 40, 41, 44, 50, 54, 57, 68, 74, 75, 77, 81, 83, 84, 88, 90, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,2.0,32.0,"{1, 10, 14, 15, 17, 18, 23, 34, 38, 42, 45, 49, 50, 51, 53, 57, 61, 64, 68, 69, 72, 75, 76, 80, 81, 85, 86, 88, 91, 92, 95, 97}",9.0,"{64, 1, 34, 97, 38, 15, 81, 85, 57}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,2.0,21.0,"{1, 2, 5, 13, 18, 21, 22, 30, 33, 34, 37, 40, 49, 51, 60, 63, 68, 71, 79, 85, 88}",12.0,"{1, 34, 5, 71, 40, 79, 49, 51, 22, 88, 60, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,1.0,9.0,"{64, 1, 3, 40, 76, 77, 16, 83, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,1.0,14.0,"{64, 68, 37, 6, 7, 39, 70, 72, 73, 44, 46, 93, 29, 31}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,1.0,9.0,"{64, 3, 37, 41, 75, 47, 49, 19, 88}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,1.0,26.0,"{1, 6, 10, 18, 23, 34, 38, 42, 50, 52, 57, 61, 64, 68, 69, 72, 76, 78, 79, 80, 81, 82, 85, 88, 92, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,1.0,36.0,"{1, 5, 6, 12, 14, 15, 17, 18, 24, 33, 34, 37, 38, 45, 49, 50, 51, 53, 54, 57, 60, 61, 63, 64, 68, 71, 75, 76, 80, 81, 85, 86, 88, 91, 92, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,1.0,37.0,"{1, 4, 5, 9, 10, 13, 17, 18, 21, 22, 24, 26, 27, 29, 30, 33, 34, 37, 39, 40, 45, 49, 50, 53, 54, 55, 57, 60, 63, 68, 69, 78, 79, 80, 86, 88, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,1.0,39.0,"{1, 2, 3, 12, 13, 15, 17, 20, 22, 24, 27, 30, 37, 39, 40, 42, 49, 50, 51, 54, 57, 60, 61, 63, 66, 68, 69, 71, 72, 76, 77, 79, 80, 84, 85, 88, 92, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,1.0,5.0,"{68, 74, 44, 15, 57}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,1.0,14.0,"{96, 65, 3, 37, 9, 41, 75, 81, 50, 84, 21, 54, 88, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
