,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,6.0,81.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 31, 32, 33, 34, 37, 38, 39, 40, 41, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 56, 57, 59, 60, 61, 62, 63, 64, 66, 68, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 95, 97, 98}",65.0,"{1, 3, 5, 6, 7, 9, 10, 14, 15, 16, 17, 19, 20, 22, 24, 26, 28, 29, 30, 31, 33, 34, 37, 38, 39, 40, 41, 44, 45, 46, 47, 49, 50, 51, 53, 56, 57, 59, 60, 61, 63, 64, 66, 68, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 83, 85, 86, 88, 90, 92, 93, 94, 95, 97}",61.0,"{1, 3, 5, 6, 7, 9, 10, 15, 16, 17, 19, 20, 22, 26, 28, 29, 30, 31, 33, 34, 37, 38, 39, 40, 41, 44, 45, 46, 47, 49, 50, 51, 53, 56, 57, 59, 60, 61, 63, 64, 68, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 81, 83, 85, 86, 88, 92, 93, 94, 95, 97}",50.0,"{1, 3, 5, 6, 10, 15, 17, 19, 20, 22, 26, 29, 30, 33, 34, 37, 38, 39, 40, 41, 44, 49, 50, 51, 53, 57, 59, 60, 61, 63, 64, 68, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 85, 86, 88, 92, 93, 94, 95, 97}",40.0,"{1, 3, 5, 6, 15, 17, 20, 22, 30, 33, 34, 37, 38, 39, 40, 41, 44, 49, 50, 51, 53, 57, 60, 61, 63, 64, 68, 71, 72, 74, 75, 76, 77, 79, 80, 86, 88, 93, 95, 97}",25.0,"{1, 3, 5, 6, 15, 17, 20, 22, 33, 34, 37, 38, 40, 49, 50, 51, 57, 61, 68, 76, 77, 80, 88, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,3.0,74.0,"{1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86, 88, 91, 92, 94, 95, 97}",66.0,"{1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 50, 51, 52, 53, 54, 55, 57, 59, 60, 61, 62, 63, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 80, 82, 84, 86, 88, 91, 92, 95, 97}",24.0,"{6, 13, 15, 17, 18, 24, 27, 29, 30, 33, 34, 38, 39, 40, 49, 50, 57, 68, 69, 71, 78, 84, 88, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,2.0,57.0,"{1, 2, 3, 4, 5, 6, 10, 12, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 42, 49, 50, 51, 52, 54, 55, 57, 59, 60, 63, 64, 66, 68, 69, 71, 72, 76, 77, 78, 79, 80, 82, 84, 85, 88, 92, 95, 97}",32.0,"{1, 2, 3, 4, 6, 10, 13, 19, 20, 24, 27, 34, 37, 39, 40, 49, 50, 51, 55, 57, 59, 60, 63, 68, 69, 71, 78, 79, 84, 85, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,1.0,25.0,"{1, 6, 10, 18, 23, 34, 38, 42, 50, 52, 57, 61, 64, 68, 69, 72, 76, 78, 79, 80, 81, 82, 85, 88, 92}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1;10;3,2.0,36.0,"{1, 5, 6, 12, 14, 15, 17, 18, 20, 24, 33, 34, 37, 38, 45, 49, 50, 51, 53, 54, 57, 60, 61, 63, 64, 68, 71, 75, 76, 80, 81, 85, 88, 91, 92, 95}",22.0,"{1, 5, 15, 17, 18, 20, 33, 34, 38, 51, 53, 54, 57, 61, 63, 64, 68, 71, 76, 81, 85, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,1.0,37.0,"{1, 4, 5, 6, 9, 10, 13, 17, 18, 19, 20, 21, 22, 24, 26, 27, 29, 30, 33, 34, 37, 39, 45, 49, 50, 54, 55, 57, 59, 63, 68, 69, 78, 79, 86, 88, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,1.0,14.0,"{96, 65, 3, 36, 37, 9, 41, 81, 50, 84, 21, 54, 88, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1;10;3,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14;12,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6;13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15;5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7;8,1.0,8.0,"{64, 33, 12, 80, 81, 53, 61, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1;10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,14,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,1.0,17.0,"{2, 66, 38, 39, 71, 72, 10, 13, 15, 80, 17, 49, 20, 52, 54, 57, 27}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,13,1.0,19.0,"{1, 2, 22, 24, 40, 42, 45, 54, 57, 60, 61, 64, 69, 71, 72, 77, 85, 88, 95}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15,1.0,15.0,"{66, 37, 38, 39, 40, 71, 76, 79, 17, 52, 95, 57, 92, 30, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,1.0,22.0,"{1, 2, 5, 6, 9, 23, 32, 33, 37, 38, 42, 49, 50, 51, 52, 60, 66, 69, 77, 79, 82, 88}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
