,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees,Level 31 support,Level 31 trees,Level 32 support,Level 32 trees,Level 33 support,Level 33 trees,Level 34 support,Level 34 trees,Level 35 support,Level 35 trees,Level 36 support,Level 36 trees,Level 37 support,Level 37 trees,Level 38 support,Level 38 trees,Level 39 support,Level 39 trees,Level 40 support,Level 40 trees,Level 41 support,Level 41 trees,Level 42 support,Level 42 trees,Level 43 support,Level 43 trees,Level 44 support,Level 44 trees,Level 45 support,Level 45 trees,Level 46 support,Level 46 trees,Level 47 support,Level 47 trees,Level 48 support,Level 48 trees,Level 49 support,Level 49 trees,Level 50 support,Level 50 trees,Level 51 support,Level 51 trees,Level 52 support,Level 52 trees,Level 53 support,Level 53 trees,Level 54 support,Level 54 trees,Level 55 support,Level 55 trees,Level 56 support,Level 56 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,67.0,"{1, 2, 3, 4, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 32, 33, 34, 37, 38, 39, 41, 42, 44, 45, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 82, 88, 91, 92, 95, 97}",14.0,"{1, 33, 34, 68, 37, 6, 97, 75, 15, 17, 49, 51, 57, 61}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,2.0,49.0,"{1, 3, 6, 7, 9, 14, 15, 16, 17, 19, 21, 22, 24, 28, 29, 30, 31, 36, 37, 39, 41, 44, 46, 47, 49, 50, 54, 57, 61, 64, 65, 66, 68, 70, 72, 73, 74, 75, 76, 77, 81, 83, 84, 88, 89, 90, 93, 94, 98}",11.0,"{3, 70, 39, 72, 41, 77, 81, 93, 28, 61, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,3.0,11.0,"{33, 37, 38, 6, 44, 80, 56, 26, 59, 92, 95}",5.0,"{6, 80, 59, 92, 95}",1.0,{95},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,3.0,74.0,"{1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86, 88, 91, 92, 94, 95, 97}",74.0,"{1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 41, 42, 44, 45, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86, 88, 91, 92, 94, 95, 97}",65.0,"{1, 2, 4, 5, 6, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 42, 45, 49, 50, 51, 52, 53, 54, 55, 57, 59, 60, 61, 63, 64, 66, 68, 69, 71, 72, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86, 88, 91, 92, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,2.0,29.0,"{1, 3, 9, 15, 16, 17, 21, 30, 37, 40, 41, 44, 47, 50, 54, 57, 64, 65, 68, 74, 76, 77, 81, 83, 84, 88, 90, 94, 96}",3.0,"{9, 77, 41}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,1.0,22.0,"{3, 6, 7, 19, 29, 30, 31, 37, 39, 41, 44, 46, 47, 61, 64, 68, 70, 72, 73, 75, 88, 93}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,1.0,44.0,"{1, 5, 6, 10, 12, 14, 15, 17, 18, 20, 23, 24, 33, 34, 37, 38, 42, 45, 49, 50, 52, 53, 57, 60, 61, 63, 64, 68, 69, 71, 72, 75, 76, 78, 79, 81, 82, 85, 86, 88, 91, 92, 95, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,2.0,61.0,"{1, 2, 3, 4, 5, 6, 9, 10, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 32, 33, 34, 37, 38, 39, 40, 42, 45, 49, 50, 51, 52, 53, 54, 55, 57, 59, 60, 63, 64, 66, 68, 69, 71, 72, 76, 77, 78, 79, 80, 82, 84, 85, 86, 88, 92, 95, 97}",6.0,"{71, 40, 51, 21, 88, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,1.0,19.0,"{3, 9, 15, 21, 28, 30, 41, 44, 47, 50, 54, 57, 68, 74, 75, 81, 84, 88, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
