,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,6.0,78.0,"{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 45, 46, 47, 52, 53, 55, 58, 60, 61, 62, 63, 64, 65, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 94, 95, 96, 97, 98}",66.0,"{1, 2, 5, 7, 10, 11, 12, 14, 15, 16, 17, 20, 21, 22, 25, 27, 28, 29, 30, 31, 32, 35, 36, 37, 39, 40, 41, 42, 45, 46, 47, 52, 55, 58, 60, 61, 62, 63, 64, 65, 68, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 87, 88, 89, 90, 92, 94, 95, 96, 97, 98}",64.0,"{1, 2, 5, 7, 10, 11, 12, 14, 15, 16, 17, 20, 21, 22, 25, 27, 28, 29, 30, 31, 32, 35, 36, 37, 39, 40, 41, 42, 45, 46, 47, 52, 55, 58, 60, 61, 62, 63, 64, 65, 68, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 88, 89, 90, 92, 94, 95, 96, 97}",52.0,"{1, 2, 7, 10, 11, 12, 14, 15, 17, 20, 21, 25, 27, 28, 29, 30, 31, 35, 36, 37, 39, 40, 41, 45, 46, 47, 55, 58, 60, 62, 63, 64, 65, 68, 70, 73, 74, 75, 76, 78, 79, 80, 81, 83, 85, 86, 88, 89, 92, 94, 96, 97}",36.0,"{1, 2, 7, 10, 11, 12, 14, 15, 20, 27, 29, 30, 35, 36, 41, 45, 46, 47, 58, 60, 63, 65, 68, 70, 74, 75, 76, 80, 81, 83, 86, 88, 89, 92, 94, 96}",27.0,"{1, 7, 10, 12, 14, 20, 27, 29, 35, 36, 45, 46, 58, 65, 68, 70, 74, 75, 76, 81, 83, 86, 88, 89, 92, 94, 96}",,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,47.0,"{1, 3, 7, 8, 9, 10, 13, 14, 15, 17, 20, 23, 25, 27, 29, 30, 33, 36, 40, 45, 46, 47, 48, 49, 51, 58, 60, 65, 68, 69, 74, 75, 78, 79, 80, 81, 83, 85, 86, 88, 89, 90, 91, 92, 94, 97, 98}",15.0,"{8, 91, 75, 45, 78, 92, 48, 17, 51, 83, 94, 89, 27, 60, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,70.0,"{1, 2, 4, 5, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 53, 56, 58, 59, 61, 63, 65, 66, 68, 69, 70, 71, 74, 78, 79, 80, 81, 83, 84, 85, 86, 89, 90, 91, 93, 96, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
