,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees,Level 31 support,Level 31 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,2.0,53.0,"{1, 3, 5, 7, 8, 10, 11, 12, 13, 15, 16, 17, 20, 21, 24, 26, 27, 28, 31, 33, 35, 36, 37, 40, 47, 48, 49, 50, 56, 58, 59, 60, 61, 62, 63, 64, 65, 71, 72, 73, 76, 77, 81, 83, 86, 87, 88, 89, 90, 91, 94, 96, 98}",23.0,"{1, 10, 12, 15, 17, 21, 27, 31, 35, 40, 47, 48, 58, 63, 65, 76, 81, 83, 86, 88, 89, 91, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,3.0,68.0,"{1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 25, 26, 27, 28, 29, 31, 32, 35, 36, 37, 38, 39, 40, 41, 42, 45, 46, 47, 48, 49, 50, 51, 53, 56, 58, 59, 60, 61, 63, 65, 68, 69, 70, 75, 76, 80, 81, 83, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 97, 98}",40.0,"{1, 2, 5, 7, 8, 11, 14, 15, 19, 20, 21, 23, 25, 27, 29, 32, 35, 37, 38, 40, 45, 46, 47, 50, 51, 58, 59, 61, 65, 68, 69, 80, 84, 85, 86, 89, 92, 94, 97, 98}",5.0,"{40, 14, 47, 15, 89}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,1.0,31.0,"{10, 11, 12, 15, 17, 26, 27, 31, 35, 37, 39, 47, 52, 60, 61, 62, 63, 64, 65, 70, 71, 73, 75, 78, 80, 84, 85, 92, 95, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,80.0,"{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 53, 56, 58, 59, 60, 61, 63, 65, 66, 68, 69, 70, 71, 74, 75, 76, 78, 79, 80, 81, 83, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98}",47.0,"{1, 2, 3, 5, 7, 9, 13, 14, 15, 20, 21, 24, 25, 27, 29, 30, 33, 35, 36, 39, 40, 41, 45, 46, 49, 56, 58, 60, 61, 65, 66, 68, 69, 71, 74, 75, 78, 79, 83, 85, 86, 88, 89, 91, 92, 93, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,1.0,15.0,"{64, 96, 3, 38, 71, 41, 10, 92, 20, 52, 84, 55, 27, 60, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,2.0,27.0,"{5, 10, 11, 14, 15, 16, 17, 27, 31, 32, 37, 39, 40, 41, 60, 62, 63, 64, 65, 72, 75, 77, 78, 87, 92, 96, 97}",20.0,"{5, 11, 14, 15, 17, 27, 31, 32, 37, 39, 40, 60, 62, 64, 65, 72, 75, 78, 96, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,2.0,47.0,"{1, 2, 5, 7, 9, 10, 11, 12, 13, 14, 15, 17, 21, 27, 28, 29, 30, 31, 35, 45, 46, 47, 48, 51, 56, 58, 63, 65, 66, 68, 69, 71, 74, 75, 76, 78, 81, 83, 86, 88, 89, 90, 92, 93, 94, 97, 98}",8.0,"{1, 12, 78, 46, 81, 83, 92, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,15.0,"{89, 65, 36, 5, 68, 70, 12, 45, 14, 46, 83, 20, 88, 25, 27}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,2.0,20.0,"{3, 9, 10, 11, 20, 22, 26, 27, 35, 37, 38, 41, 55, 60, 64, 65, 71, 75, 80, 95}",18.0,"{65, 3, 35, 37, 38, 71, 9, 10, 11, 41, 75, 80, 20, 22, 55, 26, 27, 60}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
