,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,3.0,89.0,"{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 45, 46, 47, 48, 49, 50, 51, 52, 53, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98}",82.0,"{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 45, 46, 47, 48, 49, 50, 51, 52, 53, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 88, 89, 90, 91, 92, 94, 95, 96, 97, 98}",50.0,"{1, 2, 3, 5, 8, 9, 10, 11, 12, 14, 15, 17, 20, 21, 24, 25, 26, 27, 31, 35, 37, 40, 41, 46, 47, 58, 60, 61, 62, 63, 65, 68, 70, 71, 73, 75, 76, 77, 78, 80, 81, 83, 85, 86, 88, 89, 91, 92, 94, 96}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,78.0,"{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 38, 39, 40, 41, 42, 45, 46, 47, 48, 49, 50, 51, 53, 56, 58, 59, 60, 61, 63, 65, 66, 68, 69, 70, 71, 74, 75, 76, 78, 79, 80, 81, 83, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98}",67.0,"{1, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 35, 36, 38, 39, 40, 41, 42, 45, 46, 47, 48, 49, 50, 51, 56, 58, 59, 60, 61, 63, 66, 68, 69, 70, 74, 76, 78, 79, 80, 81, 83, 84, 85, 86, 88, 89, 90, 92, 93, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,1.0,37.0,"{3, 5, 10, 11, 15, 17, 20, 22, 26, 27, 31, 32, 35, 37, 38, 39, 40, 47, 52, 55, 60, 61, 62, 63, 64, 65, 70, 71, 72, 75, 80, 85, 92, 95, 96, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,2.0,70.0,"{1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 35, 36, 38, 39, 40, 41, 44, 45, 46, 47, 48, 49, 50, 51, 53, 56, 58, 59, 61, 63, 65, 66, 68, 69, 70, 71, 74, 75, 76, 78, 81, 83, 85, 86, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98}",2.0,"{47, 15}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,2.0,26.0,"{3, 9, 10, 11, 20, 22, 26, 27, 35, 37, 38, 41, 55, 60, 61, 63, 64, 65, 71, 73, 75, 80, 84, 92, 95, 96}",11.0,"{96, 38, 9, 10, 11, 41, 75, 20, 55, 27, 60}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,1.0,20.0,"{11, 14, 15, 16, 27, 31, 37, 39, 41, 60, 62, 63, 64, 65, 75, 78, 87, 92, 96, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,2.0,65.0,"{1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 23, 25, 26, 27, 28, 29, 30, 31, 35, 38, 39, 40, 41, 46, 47, 48, 49, 50, 51, 53, 56, 58, 59, 61, 63, 65, 66, 68, 69, 71, 74, 75, 76, 78, 81, 83, 85, 86, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98}",18.0,"{1, 65, 5, 69, 7, 71, 10, 74, 12, 75, 47, 81, 50, 20, 89, 27, 92, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,2.0,62.0,"{1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 24, 25, 26, 27, 28, 29, 31, 33, 35, 36, 37, 41, 44, 45, 46, 47, 48, 49, 50, 51, 53, 58, 61, 63, 65, 68, 69, 70, 71, 74, 76, 78, 80, 81, 83, 85, 86, 89, 90, 91, 92, 94, 97, 98}",28.0,"{5, 7, 11, 12, 13, 14, 15, 21, 27, 28, 29, 33, 36, 44, 49, 58, 61, 65, 68, 70, 78, 80, 83, 85, 86, 89, 91, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
