,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees
0,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5;18;17;19;16;20,5.0,90.0,"{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98}",89.0,"{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 55, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98}",87.0,"{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98}",68.0,"{1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 20, 21, 24, 25, 26, 27, 28, 29, 30, 35, 36, 37, 38, 39, 40, 41, 45, 46, 47, 48, 49, 50, 51, 56, 58, 59, 60, 61, 62, 63, 65, 68, 69, 70, 71, 74, 75, 76, 78, 79, 80, 81, 83, 84, 85, 86, 88, 89, 91, 92, 94, 96, 97, 98}",28.0,"{1, 2, 5, 7, 9, 11, 13, 14, 15, 20, 21, 27, 35, 41, 46, 47, 50, 58, 60, 61, 63, 65, 68, 69, 70, 86, 89, 96}",,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1;10;3;14;12;2;6;13;15;5,1.0,68.0,"{2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 35, 36, 38, 39, 40, 41, 42, 45, 46, 47, 48, 49, 51, 53, 56, 58, 59, 60, 61, 63, 65, 66, 68, 69, 70, 71, 74, 76, 78, 81, 83, 86, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,2.0,33.0,"{3, 5, 9, 10, 11, 12, 20, 22, 26, 27, 31, 32, 35, 37, 38, 39, 41, 47, 55, 60, 62, 63, 64, 65, 71, 73, 75, 80, 87, 92, 95, 96, 98}",9.0,"{41, 10, 11, 75, 47, 20, 55, 27, 92}",,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1;10;3;14;12;2;6;13;15;5,3.0,74.0,"{1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 35, 36, 38, 39, 40, 41, 45, 46, 47, 48, 49, 50, 51, 53, 56, 58, 59, 60, 61, 63, 65, 66, 68, 69, 70, 71, 74, 75, 76, 78, 79, 80, 81, 83, 85, 86, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98}",43.0,"{1, 2, 3, 5, 7, 8, 10, 11, 12, 14, 15, 17, 20, 21, 27, 33, 36, 38, 41, 46, 47, 48, 49, 50, 58, 61, 63, 65, 66, 71, 74, 78, 79, 80, 81, 83, 85, 86, 89, 91, 92, 94, 98}",12.0,"{1, 36, 5, 38, 15, 47, 21, 86, 89, 58, 27, 94}",,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1;10;3,1.0,7.0,"{65, 3, 74, 85, 86, 58, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,2.0,56.0,"{1, 2, 3, 5, 7, 8, 9, 11, 12, 13, 14, 15, 17, 20, 21, 24, 25, 27, 28, 29, 32, 33, 35, 39, 44, 45, 46, 47, 49, 50, 51, 58, 59, 61, 63, 65, 68, 70, 71, 74, 75, 76, 78, 80, 83, 85, 86, 88, 89, 90, 91, 92, 94, 96, 97, 98}",28.0,"{1, 3, 5, 11, 12, 13, 15, 17, 20, 21, 24, 27, 29, 33, 44, 45, 46, 63, 68, 70, 74, 80, 83, 88, 89, 90, 97, 98}",,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
