,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees,Level 31 support,Level 31 trees,Level 32 support,Level 32 trees,Level 33 support,Level 33 trees,Level 34 support,Level 34 trees,Level 35 support,Level 35 trees,Level 36 support,Level 36 trees,Level 37 support,Level 37 trees,Level 38 support,Level 38 trees,Level 39 support,Level 39 trees
0,11;4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5;18;17;19;16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5,2.0,23.0,"{1, 9, 13, 14, 16, 30, 32, 33, 34, 35, 38, 49, 50, 62, 66, 68, 70, 72, 73, 80, 81, 91, 92}",3.0,"{49, 68, 62}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,2.0,19.0,"{8, 13, 14, 24, 40, 42, 44, 49, 50, 56, 60, 67, 68, 69, 71, 77, 91, 92, 97}",1.0,{40},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,2.0,14.0,"{33, 66, 3, 35, 72, 73, 91, 92, 80, 81, 88, 59, 60, 62}",1.0,{80},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5,1.0,2.0,"{59, 35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,1.0,6.0,"{71, 77, 48, 50, 61, 63}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,2.0,23.0,"{8, 13, 14, 18, 25, 30, 31, 39, 40, 43, 46, 50, 51, 60, 63, 67, 68, 77, 91, 92, 93, 97, 98}",3.0,"{18, 50, 92}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2,1.0,5.0,"{70, 49, 87, 25, 59}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,3.0,"{81, 50, 60}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,1.0,1.0,{77},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
