,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees,Level 19 support,Level 19 trees,Level 20 support,Level 20 trees,Level 21 support,Level 21 trees,Level 22 support,Level 22 trees,Level 23 support,Level 23 trees,Level 24 support,Level 24 trees,Level 25 support,Level 25 trees,Level 26 support,Level 26 trees,Level 27 support,Level 27 trees,Level 28 support,Level 28 trees,Level 29 support,Level 29 trees,Level 30 support,Level 30 trees
0,11;4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5;18;17;19;16;20,3.0,53.0,"{3, 4, 8, 9, 10, 13, 14, 16, 24, 26, 27, 30, 32, 33, 34, 35, 37, 38, 40, 41, 43, 48, 49, 50, 51, 52, 60, 61, 62, 63, 64, 65, 66, 68, 71, 72, 73, 75, 76, 77, 78, 80, 81, 82, 83, 88, 89, 90, 91, 92, 93, 94, 97}",21.0,"{3, 9, 10, 16, 24, 34, 35, 38, 40, 49, 50, 52, 64, 66, 68, 71, 72, 80, 82, 83, 91}",3.0,"{40, 80, 68}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5,1.0,36.0,"{1, 3, 9, 10, 11, 13, 14, 15, 16, 17, 18, 25, 26, 28, 30, 35, 37, 38, 41, 42, 49, 50, 53, 59, 62, 64, 65, 70, 73, 79, 80, 81, 83, 87, 90, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,1.0,31.0,"{1, 8, 9, 10, 11, 13, 28, 30, 31, 39, 40, 42, 43, 44, 46, 49, 50, 52, 56, 60, 63, 66, 69, 71, 72, 73, 76, 77, 82, 83, 97}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,1.0,14.0,"{33, 66, 3, 35, 72, 73, 91, 92, 80, 81, 88, 59, 60, 62}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,1.0,23.0,"{1, 4, 9, 11, 13, 18, 32, 33, 40, 48, 49, 50, 52, 55, 61, 63, 66, 72, 73, 76, 77, 82, 83}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,2.0,25.0,"{8, 13, 14, 18, 25, 30, 31, 39, 40, 43, 46, 50, 51, 60, 63, 67, 68, 72, 77, 89, 91, 92, 93, 97, 98}",14.0,"{98, 39, 8, 40, 43, 13, 46, 92, 18, 50, 25, 60, 93, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2,2.0,24.0,"{1, 3, 10, 11, 14, 17, 25, 27, 30, 41, 42, 49, 50, 53, 54, 59, 67, 70, 73, 79, 80, 86, 87, 90}",17.0,"{1, 3, 67, 41, 10, 42, 59, 73, 14, 79, 80, 50, 54, 86, 90, 27, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,2.0,26.0,"{1, 3, 9, 11, 15, 16, 18, 23, 25, 26, 28, 38, 41, 50, 55, 56, 60, 65, 71, 72, 73, 79, 80, 81, 83, 94}",16.0,"{1, 65, 9, 41, 11, 73, 15, 16, 79, 18, 50, 83, 23, 56, 28, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,1.0,15.0,"{32, 33, 66, 71, 40, 9, 10, 11, 72, 13, 73, 77, 82, 52, 28}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,2.0,13.0,"{4, 40, 11, 76, 13, 78, 49, 18, 50, 52, 55, 83, 23}",2.0,"{50, 4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,1.0,9.0,"{32, 1, 64, 38, 41, 42, 25, 59, 62}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7;8;9;1_1;10_1;3_1;1_2;10_2;3_2,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14;12;2,1.0,12.0,"{65, 35, 41, 15, 16, 79, 50, 80, 56, 94, 26, 30}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6;13;15;5,1.0,16.0,"{1, 71, 9, 73, 11, 75, 79, 80, 81, 18, 83, 53, 55, 23, 25, 28}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,1.0,12.0,"{32, 1, 33, 40, 9, 10, 11, 13, 77, 83, 52, 28}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7;8;9,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1_1;10_1;3_1;1_2;10_2;3_2,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14;12,2.0,8.0,"{32, 3, 38, 79, 80, 50, 23, 26}",5.0,"{79, 80, 50, 23, 26}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6;13,2.0,10.0,"{37, 75, 15, 80, 49, 81, 53, 55, 23, 60}",10.0,"{37, 75, 15, 80, 49, 81, 53, 55, 23, 60}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15;5,1.0,12.0,"{1, 72, 9, 73, 11, 13, 60, 79, 18, 83, 25, 28}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7;8,1.0,2.0,"{17, 27}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9,1.0,4.0,"{41, 10, 3, 79}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1_1;10_1;3_1,1.0,3.0,"{80, 50, 53}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1_2;10_2;3_2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,14,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,13,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1_1;10_1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3_1,1.0,1.0,{53},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1_2;10_2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3_2,1.0,1.0,{11},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1_1,1.0,1.0,{50},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10_1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1_2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,10_2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
