,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees,Level 14 support,Level 14 trees,Level 15 support,Level 15 trees,Level 16 support,Level 16 trees,Level 17 support,Level 17 trees,Level 18 support,Level 18 trees
0,11;4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5;18;17;19;16;20,4.0,76.0,"{1, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 23, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 86, 87, 88, 89, 90, 91, 92, 93, 94, 97, 98}",72.0,"{1, 3, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 23, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 49, 50, 51, 52, 53, 54, 55, 56, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 86, 87, 88, 89, 90, 91, 92, 93, 97}",49.0,"{1, 3, 8, 9, 10, 11, 13, 16, 17, 18, 23, 25, 27, 28, 30, 32, 33, 35, 37, 38, 40, 43, 46, 49, 50, 52, 54, 55, 56, 60, 62, 64, 66, 67, 68, 71, 72, 75, 77, 79, 80, 81, 82, 83, 88, 90, 91, 92, 93}",6.0,"{40, 16, 80, 50, 81, 60}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5,1.0,28.0,"{1, 9, 10, 13, 14, 15, 23, 25, 30, 32, 35, 37, 41, 50, 53, 60, 62, 65, 66, 67, 73, 79, 80, 81, 83, 86, 90, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,2.0,49.0,"{1, 4, 8, 9, 10, 11, 13, 14, 18, 23, 24, 25, 28, 30, 31, 32, 33, 39, 40, 42, 43, 46, 48, 49, 50, 51, 52, 55, 56, 60, 63, 66, 67, 68, 69, 71, 72, 73, 76, 77, 78, 82, 83, 89, 91, 92, 93, 97, 98}",9.0,"{4, 8, 40, 72, 13, 77, 18, 50, 92}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5,2.0,46.0,"{1, 3, 9, 10, 11, 13, 14, 15, 16, 17, 18, 23, 25, 26, 27, 28, 30, 32, 35, 37, 38, 41, 42, 49, 50, 53, 54, 55, 56, 59, 60, 62, 64, 65, 67, 71, 72, 73, 75, 79, 80, 81, 83, 86, 90, 94}",34.0,"{1, 3, 9, 11, 14, 15, 16, 17, 18, 25, 26, 27, 28, 32, 35, 38, 41, 42, 49, 50, 54, 55, 56, 59, 60, 64, 71, 72, 73, 75, 79, 80, 81, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,2.0,24.0,"{1, 4, 9, 10, 11, 13, 28, 32, 33, 40, 48, 49, 50, 52, 61, 63, 66, 71, 72, 73, 76, 77, 82, 83}",5.0,"{4, 40, 9, 13, 52}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2,1.0,17.0,"{1, 3, 70, 41, 10, 11, 42, 59, 73, 79, 80, 17, 49, 50, 53, 87, 27}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,1.0,15.0,"{1, 65, 9, 41, 15, 16, 49, 50, 79, 80, 81, 23, 56, 26, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
