,Node Cluster,ME score,Level 0 support,Level 0 trees,Level 1 support,Level 1 trees,Level 2 support,Level 2 trees,Level 3 support,Level 3 trees,Level 4 support,Level 4 trees,Level 5 support,Level 5 trees,Level 6 support,Level 6 trees,Level 7 support,Level 7 trees,Level 8 support,Level 8 trees,Level 9 support,Level 9 trees,Level 10 support,Level 10 trees,Level 11 support,Level 11 trees,Level 12 support,Level 12 trees,Level 13 support,Level 13 trees
0,11;4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5;18;17;19;16;20,5.0,77.0,"{1, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 23, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 86, 87, 88, 89, 90, 91, 92, 93, 94, 97, 98}",75.0,"{1, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 23, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 40, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 86, 87, 88, 89, 90, 91, 92, 93, 94, 98}",65.0,"{1, 3, 4, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 23, 25, 26, 27, 28, 30, 32, 33, 35, 37, 38, 40, 41, 42, 43, 49, 50, 51, 52, 53, 54, 55, 56, 60, 62, 63, 64, 65, 66, 67, 68, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 86, 88, 89, 90, 91, 92, 93, 94}",38.0,"{1, 3, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 25, 27, 28, 30, 32, 37, 40, 43, 49, 50, 52, 55, 60, 62, 67, 70, 72, 73, 75, 77, 79, 80, 81, 82, 90, 92}",11.0,"{1, 8, 40, 13, 77, 80, 49, 50, 81, 25, 60}",,,,,,,,,,,,,,,,,,
1,11;4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5,1.0,38.0,"{1, 3, 9, 10, 11, 13, 15, 16, 17, 18, 23, 25, 27, 28, 32, 35, 37, 38, 41, 42, 49, 50, 53, 56, 59, 60, 70, 71, 72, 73, 75, 79, 80, 81, 83, 86, 87, 90}",,,,,,,,,,,,,,,,,,,,,,,,,,
2,18;17;19;16;20,2.0,38.0,"{1, 4, 9, 10, 11, 13, 14, 18, 23, 24, 28, 31, 32, 33, 39, 40, 42, 46, 48, 49, 50, 52, 55, 56, 61, 63, 66, 67, 68, 71, 72, 73, 76, 77, 82, 83, 93, 97}",17.0,"{32, 97, 66, 67, 4, 68, 39, 40, 9, 10, 73, 13, 46, 18, 50, 52, 55}",,,,,,,,,,,,,,,,,,,,,,,,
3,11,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2;14;12;2;6;13;15;5,1.0,41.0,"{1, 3, 9, 11, 13, 14, 15, 16, 17, 18, 23, 25, 26, 27, 30, 32, 35, 37, 38, 41, 42, 49, 50, 53, 54, 55, 56, 59, 60, 62, 64, 65, 72, 73, 75, 79, 80, 81, 83, 90, 94}",,,,,,,,,,,,,,,,,,,,,,,,,,
5,18;17;19,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16;20,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4;7;8;9;1_1;10_1;3_1;1_2;10_2;3_2,1.0,9.0,"{64, 1, 10, 11, 80, 17, 49, 53, 59}",,,,,,,,,,,,,,,,,,,,,,,,,,
8,14;12;2;6;13;15;5,2.0,32.0,"{1, 3, 9, 11, 13, 15, 16, 18, 23, 25, 26, 28, 32, 35, 37, 41, 49, 50, 53, 55, 56, 60, 65, 71, 72, 73, 75, 79, 80, 81, 83, 94}",15.0,"{1, 9, 73, 11, 60, 79, 80, 49, 50, 81, 83, 55, 23, 26, 28}",,,,,,,,,,,,,,,,,,,,,,,,
9,18;17,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
